target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
36,Quzhou,6,0.6069879411489655,0.04925514786555418,0.04132263124162894
36,Quzhou,12,0.4137889456272358,0.05438040175387415,0.04985720644170699
36,Quzhou,24,0.2442134558041703,0.025706748441111205,0.025806505874764296
37,Lishui,3,0.7384830318677407,0.021748829356219357,0.02159714859346673
37,Lishui,6,0.5284378639408742,0.05863122127587572,0.05819218020577521
37,Lishui,12,0.32003685804095405,0.07461235188826121,0.08088619657122642
37,Lishui,24,0.18769513538528648,0.0231947281019238,0.03302724773767873
38,Hefei,3,0.7991381088177486,0.018184302373392525,0.010572635985237722
38,Hefei,6,0.6117029983169626,0.03513863989641175,0.02134608192102161
38,Hefei,12,0.40286433290406787,0.02653064186132137,0.01884592180474698
38,Hefei,24,0.2481738903266545,0.004548202686432079,0.0033412654426934196
39,Nanchang,3,0.8195974210249618,0.012099419317358251,0.00979797486773315
39,Nanchang,6,0.6531424954696443,0.031244498580626612,0.026291958664902415
39,Nanchang,12,0.45849670632090034,0.038766003576476527,0.03125320601068238
39,Nanchang,24,0.28906496468616805,0.011673242645429682,0.012771849207285801
40,Jinan,3,0.7806370516445551,0.0012299091712595356,0.005568926807527297
40,Jinan,6,0.5958969960877699,0.001046877902377008,0.0087820829234736
40,Jinan,12,0.40571529693648956,-0.0022823889006865494,0.00448076894644267
40,Jinan,24,0.24018647264143722,-0.00650209838443816,0.00022617158822124672
41,Qingdao,3,0.7983672492515342,0.0196002883250328,0.013687770198950733
41,Qingdao,6,0.5947693851775517,0.023185966047686968,0.01729710746944324
41,Qingdao,12,0.35494263766625644,0.012666798567352755,0.009395520391808021
41,Qingdao,24,0.16558977336039848,0.0007435487441241895,0.0018263887171551252
42,Zhengzhou,3,0.810744334954984,0.01367510875172162,0.005087976229863345
42,Zhengzhou,6,0.6266348894773714,0.024668791132371526,0.00985883251599129
42,Zhengzhou,12,0.4083689922139514,0.01510346441289423,0.006074150328418182
42,Zhengzhou,24,0.22285837188041346,0.0012195919678523737,7.425143854589145e-05
43,Wuhan,3,0.8357236469252152,0.0023941286140017892,0.0001124794615764424
43,Wuhan,6,0.6593523022394697,0.005773242034997961,0.0015242848787818675
43,Wuhan,12,0.4518812223327535,0.00710454955688733,0.0035578011830486034
43,Wuhan,24,0.29459873982199236,0.00027474926350101736,3.875500471561821e-05
